alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
inspirecycle-teneriffe,"Boxing,Barre,Cycling","Address(address_line0=null, address_line1=76 Commercial Rd, address_line2=null, city=Teneriffe, state=QLD, zip_code=4005)",34825,InspireCycle,Teneriffe,5000+,4.846956
kx-pilates-newstead,Pilates,"Address(address_line0=, address_line1=1/76 Commercial Rd, address_line2=, city=Newstead, state=, zip_code=4006)",36997,KX Pilates,Newstead,1000+,4.8801274
the-body-method-cornerstone-tugun-qld,"Low-credit livestreams,Pilates,Livestream pilates","Address(address_line0=Cornerstone Stores, address_line1=570 Gold Coast Hwy , address_line2=, city=Tugun QLD , state=, zip_code=4224)",45845,The Body Method ,,1000+,4.828882
barrys-kings-cross-potts-point,"Strength Training,Running","Address(address_line0=, address_line1=16-18 Bayswater Rd , address_line2=, city=Potts Point, state=, zip_code=2011)",55509,Barry's,Potts Point,5000+,4.8864183
infinity-wellbeing-bangkok,"Facial,Massage","Address(address_line0=, address_line1=Rembrandt Hotel, Soi Sukhumvit 20, Sukhumvit Road, KlongToei, KlongToei, address_line2=, city= Bangkok , state=, zip_code=10110)",68887,Infinity Wellbeing,,500+,4.855944
kx-pilates-miami,Pilates,"Address(address_line0=, address_line1=1a 31 Hillcrest Parade, address_line2=, city=Miami, state=, zip_code=4220)",44948,KX Pilates ,,1000+,4.7912583
barrys-surry-hills,"Strength Training,Running","Address(address_line0=, address_line1=66-72 Reservoir Street, address_line2=, city=Surry Hills, state=, zip_code=2010)",52502,Barry's,Surry Hills,5000+,4.850953
physique-57-erawan-studio-bangkok,"Low-credit livestreams,Livestream barre,Barre","Address(address_line0=Physique 57, address_line1=Erawan Building, Pathum Wan, address_line2=4th Floor , city=Bangkok, state=, zip_code=10330)",43734,Physique 57 ,,5000+,4.833999
the-sports-care-centre-singapore,Sports recovery,"Address(address_line0=, address_line1=12 Eu Tong Sen Street Soho 2 @ The Central, #08-172, address_line2=, city=Singapore, state=, zip_code=059819)",48051,The Sports Care Centre,,1000+,4.811724
studio-pilates-international-west-end,"Gym Time,Pilates","Address(address_line0=, address_line1=4 Oconnell St, address_line2=, city=West End, state=, zip_code=4101)",34929,Studio Pilates International,West End,500+,4.9197083
lean-bean-fitness-bondi-beach,"Low-credit livestreams,Boxing,Barre,Pilates,Strength Training,Yoga,Livestream strength training,Postnatal,Prenatal,Outdoors","Address(address_line0=, address_line1=178 Campbell Parade, address_line2=Beach House Lane, city=Bondi Beach, state=, zip_code=2026)",32922,Lean Bean Fitness,Bondi Beach,5000+,4.822491
club-aloha-kuala-lumpur,"Livestream HIIT,Livestream cycling,Cycling","Address(address_line0=, address_line1=60, Jalan Sri Hartamas, address_line2=Lot K-0-8B, Ground Floor, Dorchester Service Apartment, Plaza Damas, 1, Taman Sri Hartamas, city=Kuala Lumpur, state=, zip_code=50480)",45142,Club Aloha,,5000+,4.770988
fusion-hot-yoga-kangaroo-point,Yoga,"Address(address_line0=, address_line1=40 Wharf St, address_line2=, city=Kangaroo Point, state=, zip_code=4169)",32369,Fusion Hot Yoga,Kangaroo Point,1000+,4.870224
tribe-boxing-studio-mont-kiara-kuala-lumpur,"Low-credit livestreams,Boxing,Livestream boxing","Address(address_line0=, address_line1=Lot LG5-3 Arcoris, Jalan Kiara 4, Mont Kiara, address_line2=, city=Kuala Lumpur, state=, zip_code=50480)",43161,TRIBE Boxing Studio,,5000+,4.7893023
still-boxing-singapore,"Boxing,Strength Training","Address(address_line0=, address_line1=6 Shenton Way, address_line2=OUE Downtown, B1-06, city=Singapore, state=, zip_code=068815)",48123,STILL Boxing,,5000+,4.7654004
the-body-refinery-new-farm,"Dance,Boxing,Pilates,Cycling","Address(address_line0=null, address_line1=2/15 Lamington St, address_line2=null, city=New Farm, state=QLD, zip_code=4005)",32373,The Body Refinery,New Farm,1000+,4.807202
barrys-martin-place-sydney-nsw,"Free livestreams,Strength Training,Livestream strength training,Running","Address(address_line0=null, address_line1=20 Elizabeth St, address_line2=null, city=Sydney NSW, state=null, zip_code=2000)",54558,Barry's,CBD,5000+,4.8427234
