blok-shoreditch-london,"Free livestreams,Livestream barre,Livestream HIIT,Livestream pilates,Pilates,Strength Training,Yoga,Dance,Rowing,Boxing,Barre,Livestream boxing,Livestream yoga","Address(address_line0=, address_line1=Hearn St, address_line2=, city=London, state=, zip_code=EC2A 2BA)",38326,BLOK,Shoreditch,5000+,4.6982665
esteem-fitness-paris,Outdoors,"Address(address_line0=null, address_line1=46 rue Poncelet, address_line2=null, city=Paris, state=null, zip_code=75017)",72908,Esteem Fitness,,500+,4.878014
babayogaclub-paris,Yoga,"Address(address_line0=, address_line1=53 rue de Chabrol , address_line2=, city=Paris, state=, zip_code=75010)",70639,babayogaclub,,1000+,4.772675
zen-and-sounds-paris,Meditation,"Address(address_line0=, address_line1=88 Boulevard de Charonne, address_line2=, city=Paris, state=, zip_code=75020)",53435,Zen & Sounds,,1000+,4.877299
niiu-mnchen-schwabing,"Cryotherapy,Sauna","Address(address_line0=null, address_line1=Fallmerayerstraße 8, address_line2=null, city=München, state=null, zip_code=80796)",81782,NIIU ,,71,4.943662
square-fitness-studio-madrid,"Low-credit livestreams,Strength Training,Livestream strength training","Address(address_line0=, address_line1=Calle Edgar Neville, 3, address_line2=, city=Madrid, state=, zip_code=28020)",63011,SQUARE Fitness Studio,,1000+,4.942921
beatbox-boxing-club-lower-dublin,"Boxing,Strength Training","Address(address_line0=, address_line1=28 Leeson Street, address_line2=, city=Lower Dublin, state=null, zip_code=D02 KF97)",69007,BeatBox Boxing Club,,1000+,4.9019055
heat-fitness-madrid,Strength Training,"Address(address_line0=null, address_line1=Calle de Máiquez, 38, address_line2=null, city=Madrid, state=null, zip_code=28009)",61162,Heat Fitness,,1000+,4.9440904
kor-manchester,"Strength Training,Cycling,Running","Address(address_line0=, address_line1=45 Newton Street, address_line2=, city=Manchester, state=, zip_code=M1 1FT)",48280,KOR,City Centre,5000+,4.8656664
blok-clapton-london,"Dance,Boxing,Barre,Pilates,Strength Training,Yoga,Cycling","Address(address_line0=The Tram Depot, address_line1=38-40 Upper Clapton Rd, address_line2=, city=London, state=, zip_code=E5 8BQ)",32261,BLOK,Clapton,5000+,4.741831
saints-and-stars-oud-west-classes-amsterdam,"Boxing,Strength Training","Address(address_line0=, address_line1=Tweede Constantijn Huygensstraat 41, address_line2=, city=Amsterdam, state=, zip_code=1054 CP)",51278,Saints & Stars Oud-West,,5000+,4.7191687
bay-helsinki,,"Address(address_line0=, address_line1=Kanavaranta 7C , address_line2=, city=Helsinki, state=, zip_code=00160)",64453,BAY Helsinki,,1000+,4.784443
ren-coach-boutique-madrid,"Pilates,Yoga,Strength Training","Address(address_line0=, address_line1=Calle de Pizarro, 22, address_line2=, city=Madrid, state=, zip_code=28004)",60366,Ren Coach Boutique,,1000+,4.904236
workout-roba-helsinki,,"Address(address_line0=, address_line1=Iso Roobertinkatu 4, address_line2=, city=Helsinki, state=, zip_code=00120)",64484,Workout Roba,,1000+,4.8737574
barrys-stockholm,"Strength Training,Running","Address(address_line0=, address_line1=Jakobsbergsgatan 21 , address_line2=, city=Stockholm, state=, zip_code=111 44)",62539,Barry's ,,5000+,4.775993
1rebel-st-mary-axe-london,"Free livestreams,Boxing,Strength Training,Cycling","Address(address_line0=null, address_line1=63 St Mary Axe, address_line2=, city=London, state=LND, zip_code=EC3A 8LE)",27023,1Rebel,Liverpool Street,5000+,4.7430744
core-balance-oslo,"Dance,Barre,Pilates,Yoga,Strength Training","Address(address_line0=, address_line1=Rosenborggata 9, address_line2=, city=Oslo, state=, zip_code=0356)",67710,Core Balance ,,1000+,4.781682
1rebel-broadgate-london,"Boxing,Livestream HIIT,Strength Training,Livestream strength training,Cycling,Livestream boxing","Address(address_line0=, address_line1=Broadgate Cir, address_line2=, city=London, state=, zip_code=EC2M 2QS)",30429,1Rebel,Liverpool Street,5000+,4.755912
1rebel-victoria-london,"Boxing,Strength Training,Cycling","Address(address_line0=Nova South, address_line1=5 Allington Ave, address_line2=, city=London, state=, zip_code=SW1E 5BX)",41006,1Rebel,Victoria,5000+,4.772484
1rebel-angel-london,"Boxing,Strength Training,Cycling","Address(address_line0=, address_line1=407 St John Street, address_line2=, city=London, state=, zip_code=EC1V 4AD)",55553,1Rebel,Angel,5000+,4.8224325
crossfit-distrito-080-barcelona,"Low-credit livestreams,Livestream HIIT,Strength Training,Livestream strength training,Livestream yoga","Address(address_line0=, address_line1=67 bajo bis Carrer de Muntaner, address_line2=, city=Barcelona, state=, zip_code=08011)",61962,CrossFit Distrito 080,,1000+,4.890428
victus-soul-london,"Low-credit livestreams,Boxing,Strength Training,Livestream strength training,Running","Address(address_line0=, address_line1=Mansell St, address_line2=90, city=London, state=, zip_code=E1 8AL)",48918,Victus Soul,Aldgate,5000+,4.7860603
