alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
rumble-boxing-dc-washington,"Boxing,Strength Training","Address(address_line0=, address_line1=2001 M St NW, address_line2=, city=Washington, state=DC, zip_code=20036)",68114,Rumble Boxing,Dupont Circle,1000+,4.890239
rumble-boxing-flatironchelsea-new-york,"Boxing,Strength Training","Address(address_line0=, address_line1=146 W. 23rd St., address_line2=, city=New York, state=NY, zip_code=10011)",68123,Rumble Boxing,Flatiron,5000+,4.846089
rumble-boxing-upper-east-side-new-york,"Boxing,Strength Training","Address(address_line0=, address_line1=1495 3rd Avenue, address_line2=, city=New York, state=NY, zip_code=10028)",68127,Rumble Boxing,Upper East Side,5000+,4.8510714
rumble-training-upper-east-side-new-york-city,"Strength Training,Running","Address(address_line0=, address_line1=1495 3rd Ave, address_line2=, city=New York City, state=NY, zip_code=10028)",72173,Rumble Training,Upper East Side,1000+,4.861335
barrys-at-home-east-coast-new-york,"Livestream HIIT,Livestream strength training","Address(address_line0=, address_line1=135 W 20th St, address_line2=, city=New York, state=NY, zip_code=10011)",79835,Barry’s At Home ,,5000+,4.7291703
slt-at-home-new-york,"Pilates,Livestream pilates,Livestream strength training","Address(address_line0=, address_line1=137 5th Avenue, address_line2=, city=New York, state=, zip_code=10010)",80463,SLT at Home,Flatiron,500+,4.682558
mile-high-run-club-live-new-york,"Livestream HIIT,Strength Training,Livestream strength training,Running","Address(address_line0=null, address_line1=24 W 25th St, address_line2=null, city=New York, state=NY, zip_code=10010)",32682,Mile High Run Club,NoMad,5000+,4.861435
barrys-at-home-west-coast-los-angeles,"Livestream HIIT,Livestream strength training","Address(address_line0=, address_line1=7373 Beverly Blvd, address_line2=, city=Los Angeles, state=CA, zip_code=90036)",79836,Barry’s At Home,,5000+,4.796225
romney-studios-new-orleans,"Pilates,Cycling","Address(address_line0=, address_line1=5619 Magazine St, address_line2=, city=New Orleans, state=LA, zip_code=70115)",37048,ROMNEY STUDIOS,Uptown,5000+,4.9047227
the-forum-athletic-club-buckhead-atlanta,"Gym Time,Strength Training","Address(address_line0=null, address_line1=3393 Peachtree Rd NE, address_line2=null, city=Atlanta, state=GA, zip_code=30326)",32247,The Forum Athletic Club,Buckhead,5000+,4.9379444
bodi-scottsdale,"Strength Training,Yoga","Address(address_line0=, address_line1=6820 E 5th Ave, address_line2=, city=Scottsdale, state=AZ, zip_code=85251)",25110,BODI,Downtown,5000+,4.9379425
camp-tampa,"Strength Training,Yoga,Cycling","Address(address_line0=, address_line1=3012 W Palmira Ave, address_line2=, city=Tampa, state=FL, zip_code=33629)",36846,CAMP Tampa,Palma Ceia,5000+,4.894306
the-works-downtown-charleston,"Yoga,Strength Training,Livestream yoga","Address(address_line0=, address_line1=465 Meeting Street. Suite 100, address_line2=, city=Charleston, state=SC, zip_code=29403)",46152,The Works ,,5000+,4.9070096
gritcycle-monarch-beach-dana-point,Cycling,"Address(address_line0=null, address_line1=32932 Pacific Coast Hwy, address_line2=#6, city=Dana Point, state=CA, zip_code=92629)",35620,GritCycle,Dana Point,5000+,4.918321
ride-and-workout-lakewood,Cycling,"Address(address_line0=, address_line1=18524 Detroit Avenue, address_line2=, city=Lakewood, state=OH, zip_code=44107)",42205,Ride and Workout,,5000+,4.897564
rebel-house-salt-lake-city,"Boxing,Yoga,Cycling","Address(address_line0=, address_line1=320 W 200 S, address_line2=, city=Salt Lake City, state=UT, zip_code=84101)",37467,Rebel House,Central City,5000+,4.8884516
studiotorch-columbus,"Livestream HIIT,Livestream pilates,Strength Training","Address(address_line0=, address_line1=1275 Olentangy River Rd, address_line2=, city=Columbus, state=OH, zip_code=43212)",37854,StudioTorch,Tri-Village,5000+,4.8698936
gritcycle-costa-mesa,"Low-credit livestreams,Livestream cycling,Cycling","Address(address_line0=, address_line1=1731 Santa Ana Ave, address_line2=, city=Costa Mesa, state=, zip_code=92627)",25923,GritCycle,Costa Mesa,5000+,4.892516
studio-three-lincoln-park-chicago,"Strength Training,Cycling","Address(address_line0=, address_line1=2401 N Halsted St , address_line2=, city=Chicago, state=IL, zip_code=60614)",47504,Studio Three,Lincoln Park,5000+,4.8671174
the-works-mt-pleasant-mount-pleasant,"Stretching,Yoga,Strength Training","Address(address_line0=, address_line1=1421 Shucker Circle, address_line2=Suite 1116, city=Mount Pleasant, state=SC, zip_code=29464)",67527,The Works ,,5000+,4.8900084
skin-chic-downtown-missoula,"Facial,Brows,Hair removal","Address(address_line0=, address_line1=130 E Front St., address_line2=, city=Missoula, state=MT, zip_code=59802)",68063,Skin Chic,Heart of Missoula,500+,4.95791
spire-fitness-milwaukee,"Strength Training,Cycling","Address(address_line0=, address_line1=102 N Water St, address_line2=, city=Milwaukee, state=WI, zip_code=53202)",37815,SPIRE Fitness,Third Ward,5000+,4.8697534
